"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 06","18.65","16.85","18.97","16.66","","11.68%"
"2023- 11- 03","16.70","17.01","17.18","16.67","","-4.52%"
"2023- 11- 02","17.49","17.73","17.88","17.27","","-6.92%"
"2023- 11- 01","18.79","19.09","19.20","18.74","","-5.53%"
"2023- 10- 31","19.89","19.25","20.12","19.05","","-0.70%"
"2023- 10- 30","20.03","21.04","21.04","19.88","","0.05%"
"2023- 10- 27","20.02","19.98","20.41","19.79","","-5.30%"
"2023- 10- 26","21.14","20.19","21.19","19.87","","13.90%"
"2023- 10- 25","18.56","18.39","18.67","18.29","","-1.38%"
"2023- 10- 24","18.82","19.07","20.14","18.74","","-4.22%"
"2023- 10- 23","19.65","19.92","19.93","19.41","","0.61%"
"2023- 10- 20","19.53","19.02","20.36","18.95","","7.13%"
"2023- 10- 19","18.23","17.34","18.23","17.18","","13.94%"
"2023- 10- 18","16.00","16.36","16.43","15.90","","-1.11%"
"2023- 10- 17","16.18","16.23","16.49","15.98","","-5.21%"
"2023- 10- 16","17.07","16.92","17.63","16.76","","7.02%"
"2023- 10- 13","15.95","16.28","16.35","15.93","","1.59%"
"2023- 10- 12","15.70","16.21","16.32","15.70","","-6.21%"
"2023- 10- 11","16.74","16.78","16.82","16.33","","-4.67%"
"2023- 10- 10","17.56","16.77","17.58","16.61","","0.98%"
"2023- 10- 06","17.39","17.11","17.39","16.83","","0.29%"
"2023- 10- 05","17.34","17.10","17.62","16.96","","-4.15%"
"2023- 10- 04","18.09","17.16","18.13","17.16","","19.96%"
"2023- 09- 27","15.08","15.43","15.43","14.94","","2.31%"
"2023- 09- 26","14.74","14.12","14.88","14.11","","4.54%"
"2023- 09- 25","14.10","14.72","14.72","14.04","","-0.56%"
"2023- 09- 22","14.18","15.25","15.51","14.12","","1.58%"
"2023- 09- 21","13.96","13.33","14.00","13.23","","7.14%"
"2023- 09- 20","13.03","13.11","13.18","13.00","","0.62%"
"2023- 09- 19","12.95","12.85","13.11","12.83","","0.78%"
"2023- 09- 18","12.85","12.76","12.90","12.69","","9.55%"
"2023- 09- 15","11.73","11.92","12.11","11.72","","-2.41%"
"2023- 09- 14","12.02","12.42","12.43","11.96","","-4.91%"
"2023- 09- 13","12.64","12.54","12.66","12.27","","1.94%"
"2023- 09- 12","12.40","12.24","12.55","12.21","","-0.16%"
"2023- 09- 11","12.42","12.55","12.73","12.37","","0.16%"
"2023- 09- 08","12.40","12.51","12.79","12.40","","-2.29%"
"2023- 09- 07","12.69","12.55","12.72","12.39","","1.85%"
"2023- 09- 06","12.46","12.39","12.56","12.27","","0.32%"
"2023- 09- 05","12.42","12.51","12.53","12.31","","-0.56%"
"2023- 09- 04","12.49","12.82","12.88","12.42","","-0.32%"
"2023- 09- 01","12.53","12.74","12.77","12.42","","-1.96%"
"2023- 08- 31","12.78","12.88","12.91","12.70","","-2.07%"
"2023- 08- 30","13.05","13.14","13.19","12.86","","-3.26%"
"2023- 08- 29","13.49","13.89","14.04","13.44","","-4.87%"
"2023- 08- 28","14.18","14.53","14.57","14.15","","-4.58%"
"2023- 08- 25","14.86","15.20","15.23","14.69","","6.60%"
"2023- 08- 24","13.94","14.31","14.33","13.80","","-6.88%"
"2023- 08- 23","14.97","15.72","15.72","14.96","","-2.35%"
"2023- 08- 22","15.33","15.51","15.51","15.02","","-4.37%"
"2023- 08- 21","16.03","16.28","16.29","15.63","","0.00%"
"2023- 08- 18","16.03","16.92","17.09","15.75","","2.95%"
"2023- 08- 17","15.57","15.86","16.74","15.50","","2.77%"
"2023- 08- 16","15.15","14.89","15.39","14.83","","7.14%"
"2023- 08- 14","14.14","14.01","14.53","13.84","","5.21%"
"2023- 08- 11","13.44","13.68","13.80","13.43","","-4.00%"
"2023- 08- 10","14.00","14.50","14.52","13.86","","-1.06%"
"2023- 08- 09","14.15","15.32","15.32","14.00","","-8.12%"
"2023- 08- 08","15.40","15.12","16.04","14.86","","-1.97%"
"2023- 08- 07","15.71","15.97","15.98","15.34","","1.03%"
"2023- 08- 04","15.55","15.84","16.01","15.42","","-2.08%"
"2023- 08- 03","15.88","15.40","16.14","15.37","","3.39%"
"2023- 08- 02","15.36","14.39","15.46","14.39","","9.25%"
"2023- 08- 01","14.06","14.25","14.31","13.96","","-1.06%"
"2023- 07- 31","14.21","14.35","14.54","14.20","","0.42%"
"2023- 07- 28","14.15","14.34","14.65","14.09","","1.80%"
"2023- 07- 27","13.90","14.40","14.40","13.84","","-4.34%"
"2023- 07- 26","14.53","14.20","14.70","14.19","","3.20%"
"2023- 07- 25","14.08","14.24","14.37","14.06","","-0.28%"
"2023- 07- 24","14.12","13.90","14.12","13.88","","5.77%"
"2023- 07- 21","13.35","13.74","13.92","13.35","","0.98%"
"2023- 07- 20","13.22","13.24","13.24","13.10","","2.40%"
"2023- 07- 19","12.91","13.09","13.14","12.87","","-1.22%"
"2023- 07- 18","13.07","13.28","13.40","13.07","","-1.06%"
"2023- 07- 17","13.21","13.51","13.58","13.21","","0.15%"
"2023- 07- 14","13.19","12.91","13.65","12.70","","-0.45%"
"2023- 07- 13","13.25","13.42","13.46","13.17","","-3.71%"
"2023- 07- 12","13.76","13.73","14.00","13.70","","-0.43%"
"2023- 07- 11","13.82","13.92","14.12","13.68","","-5.54%"
"2023- 07- 10","14.63","14.42","14.69","14.10","","0.34%"
"2023- 07- 07","14.58","13.87","15.04","13.84","","12.33%"
"2023- 07- 06","12.98","12.57","12.98","12.20","","4.93%"
"2023- 07- 05","12.37","12.45","12.49","11.99","","0.81%"
"2023- 07- 04","12.27","12.75","12.76","12.25","","-3.61%"
"2023- 07- 03","12.73","12.83","13.01","12.73","","1.11%"
"2023- 06- 30","12.59","13.18","13.28","12.57","","-2.63%"
"2023- 06- 29","12.93","12.90","12.95","12.63","","-1.30%"
"2023- 06- 28","13.10","13.28","13.36","13.09","","-0.61%"
"2023- 06- 27","13.18","13.62","13.67","13.18","","-2.08%"
"2023- 06- 26","13.46","13.62","13.66","13.45","","3.22%"
"2023- 06- 23","13.04","13.11","13.25","13.04","","-1.51%"
"2023- 06- 22","13.24","13.37","13.44","13.23","","-0.90%"
"2023- 06- 21","13.36","13.12","13.39","13.03","","2.61%"
"2023- 06- 20","13.02","13.41","13.44","13.01","","-2.47%"
"2023- 06- 19","13.35","13.69","13.80","13.35","","1.68%"
"2023- 06- 16","13.13","13.61","13.61","13.11","","-0.91%"
"2023- 06- 15","13.25","13.30","13.43","13.16","","-2.21%"
"2023- 06- 14","13.55","13.81","13.83","13.42","","-1.53%"
"2023- 06- 13","13.76","13.80","14.10","13.70","","2.30%"
"2023- 06- 12","13.45","13.64","13.67","13.45","","2.20%"
"2023- 06- 09","13.16","13.27","13.50","13.02","","-2.08%"
"2023- 06- 08","13.44","13.53","13.55","13.11","","-1.97%"
"2023- 06- 07","13.71","13.91","13.91","13.63","","-2.63%"
"2023- 06- 05","14.08","14.16","14.26","13.99","","0.86%"
"2023- 06- 02","13.96","14.06","14.09","13.82","","-2.72%"
"2023- 06- 01","14.35","14.65","14.71","14.34","","-3.04%"